ID,Disease_Risk,DR,ARMD,MH,DN,MYA,BRVO,TSLN,ERM,LS,MS,CSR,ODC,CRVO,TV,AH,ODP,ODE,ST,AION,PT,RT,RS,CRS,EDN,RPEC,MHL,RP,OTHER
1,0.9965358972549438,0.026494665071368217,0.19809642434120178,0.19201479852199554,0.03563638776540756,0.6294100880622864,0.07259173691272736,0.4812254309654236,0.009191378951072693,0.015867259353399277,0.007185047026723623,0.003674774430692196,0.2796669900417328,0.0338510237634182,0.0043961163610219955,0.014051757752895355,0.06050916388630867,0.011078223586082458,0.00306613277643919,0.010435041971504688,0.002953865099698305,0.010070854797959328,0.004817848093807697,0.0074370549991726875,0.01002565585076809,0.007073717657476664,0.006246300879865885,0.004503605887293816,0.022847985848784447
2,0.9060648083686829,0.2230459451675415,0.047438718378543854,0.011066073551774025,0.16561780869960785,0.024761775508522987,0.05439286679029465,0.033436428755521774,0.028272045776247978,0.0715106800198555,0.035951901227235794,0.08081036806106567,0.17418637871742249,0.026652351021766663,0.013007125817239285,0.01699945516884327,0.07830940932035446,0.0586184523999691,0.014179723337292671,0.026070835068821907,0.023340972140431404,0.018004555255174637,0.09306462854146957,0.06384846568107605,0.018536841496825218,0.04819744825363159,0.020497599616646767,0.01289855595678091,0.050991930067539215
3,0.992972731590271,0.2663821578025818,0.43679583072662354,0.02389845997095108,0.13374470174312592,0.22865311801433563,0.08791329711675644,0.12682607769966125,0.02585481107234955,0.12239713221788406,0.023132001981139183,0.016864566132426262,0.09342731535434723,0.050108954310417175,0.009993293322622776,0.026183482259511948,0.09656686335802078,0.012948019430041313,0.00827370211482048,0.015243989415466785,0.010310042649507523,0.02140052616596222,0.04881548136472702,0.04496249184012413,0.024535279721021652,0.020777206867933273,0.015295060351490974,0.019857309758663177,0.024998048320412636
4,0.9906627535820007,0.4517635703086853,0.2414494901895523,0.017287250608205795,0.1551726907491684,0.17273029685020447,0.10097407549619675,0.09444369375705719,0.019942019134759903,0.1565399318933487,0.015805397182703018,0.013080292381346226,0.07595359534025192,0.039573464542627335,0.007309843320399523,0.023154236376285553,0.09833282232284546,0.015592141076922417,0.008619812317192554,0.01137521956115961,0.009666481986641884,0.020105374976992607,0.028768107295036316,0.032276660203933716,0.02001313306391239,0.021440135315060616,0.01239529624581337,0.014839217066764832,0.025439145043492317
5,0.9863996505737305,0.22540771961212158,0.23994602262973785,0.0725780725479126,0.13055942952632904,0.055827945470809937,0.03553294017910957,0.382955938577652,0.008230217732489109,0.034839481115341187,0.00997905619442463,0.007298655342310667,0.07197082787752151,0.0064043402671813965,0.003040537005290389,0.007957905530929565,0.041573747992515564,0.003573336638510227,0.002680880017578602,0.006860780995339155,0.004624175373464823,0.0068244715221226215,0.006097183562815189,0.014790116809308529,0.005921537522226572,0.009352200664579868,0.006269798148423433,0.006668745074421167,0.015449350699782372
6,0.9673711061477661,0.09749868512153625,0.19992873072624207,0.5723927617073059,0.12035999447107315,0.028678076341748238,0.040083710104227066,0.1080467626452446,0.016566643491387367,0.03270374983549118,0.021733803674578667,0.013755323365330696,0.06871727854013443,0.007896323688328266,0.005498353857547045,0.013084257021546364,0.04811181500554085,0.010354969650506973,0.004976389463990927,0.009918099269270897,0.00875910185277462,0.0132224652916193,0.0126912547275424,0.019713599234819412,0.01062464714050293,0.014223850332200527,0.0106268972158432,0.009611880406737328,0.018341632559895515
7,0.9939602613449097,0.30657094717025757,0.41127198934555054,0.11955378204584122,0.1939152032136917,0.19996745884418488,0.1296786218881607,0.25078749656677246,0.03134192153811455,0.18716515600681305,0.022433048114180565,0.016367629170417786,0.10023710131645203,0.04895281791687012,0.01497115008533001,0.05379806458950043,0.1422768384218216,0.014638163149356842,0.014987614937126637,0.022068146616220474,0.01416256744414568,0.039522670209407806,0.021523060277104378,0.04963258281350136,0.029168296605348587,0.02982175536453724,0.024359453469514847,0.02893969789147377,0.042369939386844635
8,0.7075442671775818,0.016450488939881325,0.014677434228360653,0.03758028894662857,0.07169634848833084,0.0038893509190529585,0.013142702169716358,0.005093078128993511,0.013348878361284733,0.005056571215391159,0.017584295943379402,0.07338208705186844,0.021747872233390808,0.0032166321761906147,0.0018885773606598377,0.0024253965821117163,0.011570739559829235,0.07865685969591141,0.0031766423489898443,0.009852162562310696,0.006446950603276491,0.0033955650869756937,0.13061852753162384,0.037423957139253616,0.003823068691417575,0.017831334844231606,0.008355656638741493,0.0034553157165646553,0.023928282782435417
9,0.9278439283370972,0.057624299079179764,0.03247014433145523,0.0142219178378582,0.050688210874795914,0.01701170764863491,0.02859751135110855,0.020172957330942154,0.02560430020093918,0.013755438849329948,0.017814697697758675,0.07470033317804337,0.015350574627518654,0.020976847037672997,0.006320902146399021,0.00805283710360527,0.030079690739512444,0.36787742376327515,0.006796285975724459,0.033735908567905426,0.010514283552765846,0.009903766214847565,0.2820133566856384,0.0667707771062851,0.010278158821165562,0.028526846319437027,0.012676307931542397,0.008050658740103245,0.04202888160943985
10,0.9551966786384583,0.3772725462913513,0.01692039519548416,0.036281414330005646,0.18176500499248505,0.0031959994230419397,0.032005224376916885,0.04679908603429794,0.005446644965559244,0.03323198854923248,0.008301611058413982,0.0075026447884738445,0.26361435651779175,0.005518095567822456,0.0020607421174645424,0.004914955701678991,0.05363381654024124,0.005429218988865614,0.0033958053681999445,0.0080276383087039,0.008244211785495281,0.007003237958997488,0.0032470824662595987,0.005708967801183462,0.004290348384529352,0.012720772996544838,0.005033431109040976,0.0026259778533130884,0.01239209808409214
